Rk.,,Batter,,Pitcher,PA,Inning,Result,EV,LA,Dist,Bat_speed,Pitch_velo,xBA,numParks
9,,Connor Wong,,Héctor Neris,69,8,GIDP,97.3,-21,7,⚡78.0,92.4,.140,
10,,Ceddanne Rafaela,,Héctor Neris,68,8,Flyout,95.2,26,312,72.9,92.3,.240,0/30
11,,Trevor Story,,Héctor Neris,67,8,Single,107.4,11,237,,92.7,.930,
12,,Luis Rengifo,,Garrett Whitlock,66,8,Groundout,64.0,-1,32,63.2,84.3,.120,
13,,Travis d'Arnaud,,Garrett Whitlock,65,8,Single,104.4,20,344,68.1,96.6,.570,0/30
14,,Jorge Soler,,Garrett Whitlock,64,8,Groundout,87.6,-19,4,71.1,84.9,.090,
15,,Abraham Toro,,Connor Brogdon,62,7,Pop Out,75.8,74,105,71.6,86.1,.000,
16,,Mike Trout,,Greg Weissert,59,7,Lineout,97.3,20,314,67.1,95.0,.290,0/30
17,,Nolan Schanuel,,Greg Weissert,58,7,Groundout,89.0,-6,27,70.8,95.0,.180,
18,,Zach Neto,,Greg Weissert,57,7,Groundout,71.8,4,59,70.0,93.8,.160,
19,,Rafael Devers,,Brock Burke,56,6,Flyout,92.0,33,344,74.6,94.1,.060,0/30
20,,Jarren Duran,,Brock Burke,55,6,Double,95.9,25,361,⚡76.7,96.2,.210,0/30
21,,Kristian Campbell,,Brock Burke,54,6,GIDP,87.3,-21,9,72.5,93.6,.070,
22,,Ceddanne Rafaela,,Yusei Kikuchi,52,6,Home Run,112.1,26,426,74.4,89.1,1.000,30/30
23,,Chris Taylor,,Brayan Bello,50,6,Flyout,98.8,31,369,73.7,85.8,.380,0/30
24,,Jo Adell,,Brayan Bello,49,6,Pop Out,58.7,36,172,72.6,94.3,.300,
25,,Travis d'Arnaud,,Brayan Bello,47,6,Single,76.9,22,229,70.4,94.5,.940,
26,,Abraham Toro,,Yusei Kikuchi,46,5,Pop Out,69.3,64,133,66.2,95.8,.000,
27,,Romy Gonzalez,,Yusei Kikuchi,45,5,Flyout,105.3,26,392,⚡77.2,89.2,.920,3/30
28,,Rob Refsnyder,,Yusei Kikuchi,44,5,Single,107.6,4,82,74.1,95.0,.570,
29,,Rafael Devers,,Yusei Kikuchi,43,5,Flyout,98.6,42,305,72.1,88.9,.060,0/30
30,,Mike Trout,,Brayan Bello,40,5,Groundout,101.2,-25,4,74.0,95.1,.140,
31,,Nolan Schanuel,,Brayan Bello,39,5,Fielders Choice,92.1,-15,10,60.1,95.8,.120,
32,,Zach Neto,,Brayan Bello,38,5,Field Error,64.3,-30,5,70.9,87.0,.050,
33,,Kristian Campbell,,Yusei Kikuchi,36,4,Flyout,99.1,44,309,73.8,80.0,.050,0/30
34,,Ceddanne Rafaela,,Yusei Kikuchi,34,4,Single,75.1,16,207,64.8,79.6,.780,
35,,Trevor Story,,Yusei Kikuchi,33,4,Lineout,104.6,17,321,⚡75.4,94.2,.540,0/30
36,,Jo Adell,,Brayan Bello,31,4,Single,85.9,1,50,⚡78.4,96.5,.300,
37,,Luis Rengifo,,Brayan Bello,30,4,Forceout,74.1,-5,15,73.0,84.8,.110,
38,,Travis d'Arnaud,,Brayan Bello,29,4,Single,105.0,24,336,,84.5,.900,4/30
39,,Abraham Toro,,Yusei Kikuchi,28,3,Groundout,49.6,-7,17,63.4,96.7,.130,
40,,Jarren Duran,,Yusei Kikuchi,24,3,Double,101.0,25,369,⚡80.9,88.9,.610,0/30
41,,Kristian Campbell,,Yusei Kikuchi,23,3,Double,110.2,-18,11,,95.6,.130,
42,,Connor Wong,,Yusei Kikuchi,22,3,Single,87.3,18,274,73.5,88.0,.850,
43,,Jorge Soler,,Brayan Bello,21,3,Flyout,82.1,43,248,⚡75.3,85.4,.010,
44,,Taylor Ward,,Brayan Bello,20,3,Flyout,97.0,38,317,65.9,95.1,.110,0/30
45,,Mike Trout,,Brayan Bello,19,3,Flyout,86.2,27,275,⚡76.8,97.3,.100,
46,,Nolan Schanuel,,Brayan Bello,18,3,Single,59.7,-11,11,54.3,91.0,.090,
47,,Zach Neto,,Brayan Bello,17,3,Single,105.6,-2,39,70.4,84.6,.430,
48,,Ceddanne Rafaela,,Yusei Kikuchi,14,2,Double,101.4,12,232,73.5,88.9,.950,
49,,Luis Rengifo,,Brayan Bello,10,2,Groundout,78.4,-64,2,62.6,96.1,.380,
50,,Travis d'Arnaud,,Brayan Bello,9,2,Groundout,70.1,-12,11,66.5,96.0,.050,
51,,Jorge Soler,,Brayan Bello,8,2,Groundout,82.9,-41,3,69.9,86.1,.070,
52,,Rob Refsnyder,,Yusei Kikuchi,7,1,GIDP,106.3,2,56,⚡76.1,96.5,.510,
53,,Rafael Devers,,Yusei Kikuchi,6,1,Single,111.5,9,208,74.2,93.6,.860,
54,,Jarren Duran,,Yusei Kikuchi,5,1,Flyout,100.2,42,319,⚡78.6,88.1,.070,0/30
55,,Taylor Ward,,Brayan Bello,4,1,Double Play,94.7,10,163,74.3,96.6,.710,
56,,Mike Trout,,Brayan Bello,3,1,Single,100.5,6,111,73.3,95.2,.620,
57,,Zach Neto,,Brayan Bello,1,1,Groundout,48.1,-78,2,42.4,96.6,.180,
1,,Jake Bauers,,Emilio Pagán,72,9,Flyout,106.2,26,400,⚡82.7,96.8,.950,6/30
2,,Caleb Durbin,,Emilio Pagán,71,9,Field Error,89.9,-7,19,70.9,96.7,.230,
3,,Rhys Hoskins,,Emilio Pagán,69,9,Pop Out,96.4,82,13,73.9,96.9,.010,
4,,Santiago Espinal,,Grant Anderson,66,8,Lineout,82.4,27,272,64.4,81.5,.140,
5,,Will Benson,,Grant Anderson,65,8,Home Run,102.6,27,374,68.4,95.6,.830,9/30
6,,Spencer Steer,,Grant Anderson,64,8,Flyout,93.2,47,282,74.4,81.5,.010,
7,,Sal Frelick,,Tony Santillan,63,8,Flyout,84.0,36,290,70.2,96.8,.010,
8,,William Contreras,,Tony Santillan,62,8,Groundout,94.8,-9,14,68.5,87.2,.240,
9,,Christian Yelich,,Graham Ashcraft,61,8,Lineout,104.6,10,186,⚡76.2,97.2,.870,
10,,Tyler Stephenson,,Grant Anderson,60,7,Groundout,54.6,-81,2,70.1,82.3,.130,
11,,Connor Joe,,Rob Zastryzny,58,7,Sac Fly,92.0,22,318,74.5,92.6,.200,0/30
12,,TJ Friedl,,Rob Zastryzny,57,7,Groundout,64.2,-18,8,73.0,82.5,.050,
13,,Matt McLain,,Freddy Peralta,56,7,Double,101.2,19,333,69.3,97.6,.360,0/30
14,,Jackson Chourio,,Graham Ashcraft,54,7,Groundout,57.4,-10,14,70.1,89.6,.090,
15,,Brice Turang,,Graham Ashcraft,53,7,Groundout,101.7,-10,15,71.3,97.2,.310,
16,,Santiago Espinal,,Freddy Peralta,51,6,GIDP,94.9,5,91,69.9,95.7,.460,
17,,Spencer Steer,,Freddy Peralta,49,6,Single,74.0,21,226,70.9,89.5,.990,
18,,Caleb Durbin,,Scott Barlow,48,6,Flyout,93.6,31,365,⚡78.8,83.7,.180,1/30
19,,Isaac Collins,,Scott Barlow,47,6,Groundout,79.3,-24,6,67.5,93.9,.050,
20,,Rhys Hoskins,,Scott Barlow,46,6,Flyout,70.1,36,246,74.7,92.2,.710,
21,,Tyler Stephenson,,Freddy Peralta,45,5,Flyout,92.7,38,338,70.6,96.5,.030,0/30
22,,TJ Friedl,,Freddy Peralta,42,5,Single,90.3,11,179,69.7,96.0,.640,
23,,Matt McLain,,Freddy Peralta,41,5,Pop Out,88.3,77,37,72.4,95.0,.010,
24,,Jake Fraley,,Freddy Peralta,40,5,Pop Out,63.3,28,196,74.3,94.9,.770,
25,,Sal Frelick,,Hunter Greene,39,5,Pop Out,79.1,75,60,⚡77.9,100.1,.000,
26,,Christian Yelich,,Hunter Greene,37,5,Single,108.2,10,179,⚡75.6,100.1,.860,
27,,Santiago Espinal,,Freddy Peralta,34,4,Groundout,92.5,-10,18,,95.9,.210,
28,,Spencer Steer,,Freddy Peralta,32,4,Double,100.2,21,320,73.7,84.8,.380,0/30
29,,Tyler Stephenson,,Freddy Peralta,31,4,Home Run,102.2,26,359,66.1,96.6,.690,22/30
30,,Elly De La Cruz,,Freddy Peralta,30,4,Double,100.9,29,358,70.7,90.3,.630,3/30
31,,Rhys Hoskins,,Hunter Greene,25,4,Single,89.9,11,184,,100.0,.640,
32,,Sal Frelick,,Hunter Greene,24,4,Home Run,103.8,20,357,70.0,90.4,.570,18/30
33,,William Contreras,,Hunter Greene,23,4,Groundout,105.7,-5,28,⚡79.1,100.4,.360,
34,,Christian Yelich,,Hunter Greene,22,4,Lineout,90.8,22,317,74.3,90.4,.210,0/30
35,,TJ Friedl,,Freddy Peralta,21,3,Pop Out,78.4,61,172,67.4,97.5,.010,
36,,Matt McLain,,Freddy Peralta,20,3,Groundout,92.3,-20,10,71.4,96.7,.150,
37,,Santiago Espinal,,Freddy Peralta,18,3,Single,83.5,15,221,68.5,97.8,.930,
38,,Jackson Chourio,,Hunter Greene,17,3,Bunt Groundout,22.3,4,19,2.1,99.4,.330,
39,,Brice Turang,,Hunter Greene,16,3,Flyout,89.1,27,303,68.0,90.0,.040,0/30
40,,Caleb Durbin,,Hunter Greene,11,2,Pop Out,69.1,67,116,73.5,92.0,.000,
41,,Isaac Collins,,Hunter Greene,10,2,Flyout,93.0,29,353,70.7,100.2,.120,0/30
42,,TJ Friedl,,Freddy Peralta,6,1,Groundout,81.9,1,45,68.7,81.0,.240,
43,,Christian Yelich,,Hunter Greene,3,1,Single,95.7,14,248,73.9,99.5,.900,
44,,Jackson Chourio,,Hunter Greene,2,1,Lineout,86.3,20,297,74.5,89.3,.620,
45,,Brice Turang,,Hunter Greene,1,1,Double,101.7,20,305,70.3,91.3,.500,0/30
1,,Sean Murphy,,Ryan Thompson,75,9,Groundout,56.2,-18,9,74.9,90.1,.070,
2,,Alex Verdugo,,Ryan Thompson,74,9,Groundout,59.9,-64,3,,89.6,.260,
3,,Ozzie Albies,,Ryan Thompson,73,9,Groundout,86.3,3,58,73.3,91.3,.350,
4,,Geraldo Perdomo,,Scott Blewett,72,9,Groundout,94.2,-6,22,⚡76.0,84.6,.190,
5,,Ketel Marte,,Rafael Montero,71,9,Single,92.7,18,291,⚡76.2,89.4,.530,
6,,Corbin Carroll,,Rafael Montero,70,9,Home Run,107.4,29,416,⚡75.5,88.4,.950,30/30
7,,Alek Thomas,,Rafael Montero,69,9,Single,103.6,13,269,70.6,94.8,.900,
8,,Gabriel Moreno,,Rafael Montero,68,9,Single,70.0,23,204,67.9,96.0,.980,
9,,Pavin Smith,,Rafael Montero,67,9,Flyout,93.2,33,325,71.2,87.8,.060,0/30
10,,Marcell Ozuna,,Shelby Miller,65,8,Flyout,106.1,22,403,⚡75.6,95.6,.840,7/30
11,,Austin Riley,,Shelby Miller,63,8,Single,103.3,,49,⚡75.9,86.6,.460,
12,,Drake Baldwin,,Shelby Miller,62,8,Forceout,70.7,-25,5,⚡78.6,87.4,.050,
13,,Ronald Acuña Jr.,,Shelby Miller,61,8,Single,105.1,-6,15,74.8,87.4,.410,
14,,Eugenio Suárez,,Rafael Montero,60,8,Flyout,99.7,63,190,⚡77.1,94.6,.010,
15,,Josh Naylor,,Rafael Montero,59,8,Groundout,76.8,-8,16,70.5,86.8,.070,
16,,Geraldo Perdomo,,Rafael Montero,58,8,Flyout,79.3,55,194,61.1,86.7,.050,
17,,Michael Harris II,,Zac Gallen,57,7,Bunt Groundout,28.8,-74,2,9.0,85.7,.230,
18,,Alex Verdugo,,Zac Gallen,55,7,Groundout,97.1,-16,9,66.6,85.9,.180,
19,,Ozzie Albies,,Zac Gallen,50,6,Flyout,73.6,57,193,61.0,93.8,.070,
20,,Marcell Ozuna,,Zac Gallen,49,6,Flyout,93.5,51,260,⚡77.2,94.8,.010,
21,,Austin Riley,,Zac Gallen,47,6,Groundout,65.0,-37,5,61.4,83.0,.080,
22,,Pavin Smith,,Enyel De Los Santos,45,6,Flyout,79.3,50,229,71.5,88.8,.040,
23,,Lourdes Gurriel Jr.,,Enyel De Los Santos,44,6,Single,86.6,11,175,67.5,97.0,.620,
24,,Eugenio Suárez,,Enyel De Los Santos,43,6,Lineout,105.9,16,284,73.9,95.9,.590,
25,,Drake Baldwin,,Zac Gallen,42,5,Groundout,81.6,-5,20,⚡76.3,85.3,.160,
26,,Ronald Acuña Jr.,,Zac Gallen,41,5,Single,103.7,14,268,⚡76.1,94.2,.740,
27,,Michael Harris II,,Zac Gallen,40,5,Groundout,100.3,-18,8,⚡75.2,94.0,.170,
28,,Josh Naylor,,Spencer Strider,38,5,Groundout,80.4,-27,6,,96.4,.040,
29,,Geraldo Perdomo,,Spencer Strider,37,5,GIDP,100.2,-1,41,73.1,94.6,.350,
30,,Corbin Carroll,,Spencer Strider,35,5,Home Run,106.1,29,438,⚡77.9,95.2,1.000,30/30
31,,Alex Verdugo,,Zac Gallen,34,4,Lineout,91.0,26,339,62.4,94.0,.090,0/30
32,,Ozzie Albies,,Zac Gallen,33,4,Single,86.2,19,276,65.5,95.8,.780,
33,,Marcell Ozuna,,Zac Gallen,32,4,Field Error,66.7,-23,6,71.9,82.1,.050,
34,,Matt Olson,,Zac Gallen,31,4,Single,96.2,-1,27,65.2,88.1,.350,
35,,Austin Riley,,Zac Gallen,30,4,Groundout,102.5,1,62,71.0,82.0,.460,
36,,Drake Baldwin,,Zac Gallen,29,4,Home Run,104.0,23,378,73.3,91.0,.780,28/30
37,,Alek Thomas,,Spencer Strider,27,4,Groundout,77.4,-42,4,⚡75.2,94.5,.120,
38,,Lourdes Gurriel Jr.,,Spencer Strider,24,4,Groundout,76.9,-3,23,63.4,81.9,.090,
39,,Michael Harris II,,Zac Gallen,23,3,Groundout,106.1,-7,21,71.3,82.6,.400,
40,,Alex Verdugo,,Zac Gallen,21,3,Groundout,80.2,-14,9,57.3,88.2,.050,
41,,Eugenio Suárez,,Spencer Strider,20,3,Flyout,94.8,51,272,72.5,79.1,.000,
42,,Josh Naylor,,Spencer Strider,19,3,Groundout,87.4,-7,21,67.4,95.6,.150,
43,,Ketel Marte,,Spencer Strider,17,3,Home Run,113.2,19,371,74.7,94.6,.920,21/30
44,,Corbin Carroll,,Spencer Strider,16,3,Single,99.8,-8,14,⚡78.4,95.3,.320,
45,,Ozzie Albies,,Zac Gallen,15,2,Groundout,77.0,-25,5,72.0,83.5,.050,
46,,Marcell Ozuna,,Zac Gallen,14,2,Groundout,63.1,-27,7,67.4,94.4,.070,
47,,Matt Olson,,Zac Gallen,13,2,Groundout,55.1,-6,17,68.3,91.4,.090,
48,,Alek Thomas,,Spencer Strider,12,2,Flyout,101.7,35,391,72.7,96.2,.430,3/30
49,,Gabriel Moreno,,Spencer Strider,11,2,Single,60.4,37,183,62.7,95.2,.330,
50,,Pavin Smith,,Spencer Strider,10,2,Flyout,97.6,33,373,71.8,95.0,.240,0/30
51,,Eugenio Suárez,,Spencer Strider,8,2,Double,110.1,21,373,⚡75.4,96.0,.960,0/30
52,,Austin Riley,,Zac Gallen,7,1,Groundout,83.3,-42,6,61.6,93.9,.080,
53,,Drake Baldwin,,Zac Gallen,6,1,Groundout,89.3,-27,7,⚡80.4,88.1,.050,
54,,Ronald Acuña Jr.,,Zac Gallen,5,1,Flyout,98.4,37,353,73.0,93.8,.170,7/30
55,,Geraldo Perdomo,,Spencer Strider,3,1,Flyout,95.0,45,315,71.6,95.8,.010,0/30
56,,Ketel Marte,,Spencer Strider,2,1,Home Run,109.3,30,445,71.7,86.4,1.000,30/30
57,,Corbin Carroll,,Spencer Strider,1,1,Pop Out,84.5,67,130,⚡78.2,95.9,.010,
1,,Adolis García,,Pete Fairbanks,66,9,Groundout,103.2,-11,6,72.6,98.4,.290,
2,,Josh Jung,,Pete Fairbanks,65,9,Lineout,98.9,21,326,67.3,95.6,.330,0/30
3,,Corey Seager,,Pete Fairbanks,64,9,Groundout,99.2,-9,15,⚡77.3,93.0,.270,
4,,Jake Mangum,,Codi Heuer,62,8,Groundout,87.7,-34,4,67.7,86.6,.080,
5,,Junior Caminero,,Codi Heuer,61,8,Home Run,103.4,30,398,72.7,95.0,.750,27/30
6,,Jonathan Aranda,,Codi Heuer,60,8,Groundout,83.3,-32,4,70.2,88.2,.050,
7,,Wyatt Langford,,Kevin Kelly,59,8,Groundout,97.8,-9,12,73.8,90.7,.320,
8,,Josh Smith,,Kevin Kelly,58,8,Lineout,90.5,26,329,63.8,91.6,.090,0/30
9,,Kyle Higashioka,,Kevin Kelly,57,8,Flyout,82.6,42,254,73.8,89.9,.000,
10,,Yandy Díaz,,Codi Heuer,56,7,Forceout,90.5,-12,11,⚡76.4,96.4,.160,
11,,Brandon Lowe,,Jacob Latz,55,7,Single,97.4,-4,29,70.3,83.4,.280,
12,,Josh Lowe,,Jacob Latz,54,7,Flyout,86.0,41,284,69.2,81.5,.010,
13,,Jake Burger,,Garrett Cleavinger,51,7,Single,84.8,18,229,⚡80.0,89.3,.940,
14,,Adolis García,,Garrett Cleavinger,49,7,Single,106.0,12,231,70.9,95.9,.910,
15,,Josh Jung,,Garrett Cleavinger,48,7,Flyout,94.1,34,333,73.4,87.5,.060,0/30
16,,Jake Mangum,,Jacob Latz,44,6,Single,43.1,-39,5,72.2,84.0,.310,
17,,Jonathan Aranda,,Tyler Mahle,42,6,Single,108.1,8,133,⚡75.4,85.7,.710,
18,,Brandon Lowe,,Tyler Mahle,40,6,Groundout,83.7,8,106,⚡79.2,82.1,.430,
19,,Josh Smith,,Mason Montgomery,38,6,Forceout,73.8,1,42,⚡75.1,89.3,.110,
20,,Kyle Higashioka,,Mason Montgomery,37,6,Single,90.7,9,127,74.8,89.7,.540,
21,,Josh Lowe,,Tyler Mahle,35,5,Lineout,95.0,20,318,⚡75.1,83.7,.310,0/30
22,,Taylor Walls,,Tyler Mahle,34,5,Groundout,74.4,-17,9,48.4,90.6,.070,
23,,Jake Burger,,Drew Rasmussen,32,5,Groundout,79.3,-40,3,67.9,94.5,.090,
24,,Alejandro Osuna,,Drew Rasmussen,30,5,Groundout,99.9,-12,13,70.5,95.4,.220,
25,,Kameron Misner,,Tyler Mahle,29,4,Groundout,61.0,-7,13,57.9,84.7,.080,
26,,Junior Caminero,,Tyler Mahle,27,4,Flyout,96.0,38,322,73.7,92.0,.070,0/30
27,,Jonathan Aranda,,Tyler Mahle,23,3,Forceout,88.2,-17,12,61.4,91.6,.080,
28,,Yandy Díaz,,Tyler Mahle,22,3,Single,107.9,1,60,⚡79.0,83.7,.480,
29,,Josh Lowe,,Tyler Mahle,20,3,Bunt Pop Out,44.8,67,73,,81.4,.020,
30,,Kyle Higashioka,,Drew Rasmussen,18,3,Groundout,94.8,-30,3,72.2,91.9,.060,
31,,Evan Carter,,Drew Rasmussen,17,3,Forceout,86.4,-10,17,60.8,94.6,.150,
32,,Jake Burger,,Drew Rasmussen,16,3,Single,76.1,-2,31,70.9,89.9,.100,
33,,Danny Jansen,,Tyler Mahle,14,2,Pop Out,64.5,52,176,58.8,91.9,.090,
34,,Kameron Misner,,Tyler Mahle,13,2,Home Run,88.9,37,328,67.0,91.7,.030,2/30
35,,Jake Mangum,,Tyler Mahle,12,2,Lineout,81.9,23,272,72.1,82.3,.520,
36,,Marcus Semien,,Drew Rasmussen,11,2,Groundout,101.4,,52,73.4,95.8,.410,
37,,Josh Jung,,Drew Rasmussen,9,2,Groundout,40.9,-43,5,65.9,95.6,.280,
38,,Junior Caminero,,Tyler Mahle,8,1,Lineout,75.1,29,252,⚡85.9,86.7,.450,
39,,Jonathan Aranda,,Tyler Mahle,7,1,Single,96.7,12,186,66.8,85.9,.970,
40,,Yandy Díaz,,Tyler Mahle,6,1,Single,108.3,-10,13,⚡75.5,86.4,.350,
41,,Josh Lowe,,Tyler Mahle,4,1,Groundout,96.2,-1,35,70.6,83.0,.430,
42,,Wyatt Langford,,Drew Rasmussen,2,1,Lineout,97.0,15,264,66.6,90.9,.800,
1,,Parker Meadows,,Dan Altavilla,76,9,Pop Out,89.1,76,116,73.7,95.3,.010,
2,,Javier Báez,,Dan Altavilla,75,9,Groundout,110.0,-6,15,⚡79.4,87.0,.450,
3,,Miguel Vargas,,Chase Lee,73,8,GIDP,95.4,-6,12,69.3,86.5,.280,
4,,Chase Meidroth,,Chase Lee,72,8,Single,91.9,13,226,69.8,79.8,.940,
5,,Mike Tauchman,,Chase Lee,71,8,Single,102.8,-2,39,66.0,88.3,.400,
6,,Vinny Capra,,Chase Lee,70,8,Single,80.0,3,73,61.4,88.1,.250,
7,,Edgar Quero,,Chase Lee,68,8,Groundout,107.8,-21,4,,89.1,.110,
8,,Dillon Dingler,,Brandon Eisert,67,8,Lineout,101.1,19,323,,90.4,.360,0/30
9,,Spencer Torkelson,,Brandon Eisert,65,8,Single,83.4,-7,17,71.1,84.7,.140,
10,,Riley Greene,,Brandon Eisert,64,8,Flyout,92.2,28,292,70.9,87.0,.100,
11,,Zach McKinstry,,Brandon Eisert,63,8,Single,95.9,9,154,66.8,85.7,.610,
12,,Austin Slater,,Dylan Smith,60,7,Double,106.1,18,336,68.5,95.6,.590,0/30
13,,Andrew Benintendi,,Dylan Smith,59,7,Single,99.2,-9,15,,95.5,.300,
14,,Miguel Vargas,,Dylan Smith,58,7,Single,104.1,9,217,71.1,95.9,.760,
15,,Mike Tauchman,,Dylan Smith,56,7,Flyout,87.9,48,278,71.6,95.1,.010,
16,,Parker Meadows,,Jordan Leasure,55,7,Flyout,100.0,27,368,74.2,96.1,.560,0/30
17,,Javier Báez,,Jordan Leasure,54,7,Pop Out,69.5,73,84,⚡79.9,87.4,.000,
18,,Trey Sweeney,,Jordan Leasure,53,7,Flyout,91.6,49,270,⚡76.7,96.4,.000,
19,,Dillon Dingler,,Jordan Leasure,52,7,Double,86.7,10,129,70.8,87.5,.530,
20,,Wenceel Pérez,,Jordan Leasure,51,7,Single,93.8,-5,21,66.8,87.8,.290,
21,,Vinny Capra,,Tyler Holton,50,6,Groundout,50.7,17,83,⚡76.1,85.3,.180,
22,,Michael A. Taylor,,Tyler Holton,49,6,Home Run,102.8,33,396,⚡78.8,85.3,.560,25/30
23,,Edgar Quero,,Tyler Holton,48,6,Single,89.7,-12,11,66.6,79.3,.090,
24,,Josh Rojas,,Tyler Holton,47,6,Lineout,90.2,24,281,64.5,92.1,.130,
25,,Austin Slater,,Tyler Holton,46,6,Single,97.7,-15,7,72.3,84.0,.260,
26,,Andrew Benintendi,,Tyler Holton,45,6,Groundout,64.7,-4,23,,81.3,.080,
27,,Gleyber Torres,,Shane Smith,41,6,Flyout,80.2,50,211,69.5,91.4,.050,
28,,Chase Meidroth,,Brenan Hanifee,39,5,Flyout,92.3,29,302,67.8,95.5,.110,0/30
29,,Mike Tauchman,,Brenan Hanifee,38,5,Pop Out,97.8,61,103,73.1,93.0,.020,
30,,Parker Meadows,,Shane Smith,37,5,Groundout,102.9,1,63,67.3,81.6,.470,
31,,Javier Báez,,Shane Smith,36,5,Groundout,75.9,-41,4,61.7,91.0,.090,
32,,Austin Slater,,Brenan Hanifee,30,4,Fielders Choice,94.0,-8,18,66.6,93.6,.240,
33,,Miguel Vargas,,Brant Hurter,28,4,Single,95.2,6,130,⚡75.1,92.5,.490,
34,,Wenceel Pérez,,Shane Smith,26,4,Flyout,87.2,29,333,69.9,96.2,.040,0/30
35,,Spencer Torkelson,,Shane Smith,25,4,Flyout,101.2,61,212,71.6,92.1,.020,
36,,Riley Greene,,Shane Smith,24,4,Single,64.6,-56,1,38.1,96.8,.310,
37,,Chase Meidroth,,Brant Hurter,23,3,Lineout,87.0,23,321,68.3,91.1,.210,0/30
38,,Javier Báez,,Shane Smith,16,3,Single,79.9,15,201,74.1,97.3,.830,
39,,Trey Sweeney,,Shane Smith,15,3,Groundout,77.0,-26,4,61.5,81.7,.040,
40,,Josh Rojas,,Brant Hurter,13,2,Groundout,101.8,-23,4,,91.6,.130,
41,,Wenceel Pérez,,Shane Smith,10,2,Lineout,100.2,18,286,72.8,91.6,.410,
42,,Riley Greene,,Shane Smith,8,2,Single,80.3,23,243,72.5,91.5,.650,
43,,Chase Meidroth,,Beau Brieske,5,1,Flyout,91.9,45,282,72.1,95.9,.010,
44,,Mike Tauchman,,Beau Brieske,4,1,Groundout,95.0,-21,5,68.1,96.9,.150,
45,,Kerry Carpenter,,Shane Smith,3,1,Lineout,75.0,15,162,72.6,97.5,.660,
46,,Gleyber Torres,,Shane Smith,2,1,GIDP,103.2,-1,42,74.2,97.0,.450,
1,,Nolan Arenado,,Carlos Estévez,84,9,Flyout,83.3,55,213,73.6,96.2,.020,
2,,Iván Herrera,,Carlos Estévez,83,9,Single,101.6,-1,50,⚡79.4,96.2,.470,
3,,Jac Caglianone,,Matt Svanson,81,9,Groundout,113.9,-10,13,⚡81.4,91.9,.370,
4,,Salvador Perez,,Matt Svanson,80,9,Lineout,87.4,27,326,72.4,85.1,.070,0/30
5,,Vinnie Pasquantino,,Matt Svanson,79,9,Single,77.3,25,242,69.1,86.4,.660,
6,,Maikel Garcia,,Matt Svanson,78,9,Flyout,79.0,34,276,72.2,85.2,.040,
7,,Brendan Donovan,,Taylor Clarke,77,8,Groundout,90.1,-10,14,68.1,96.0,.160,
8,,Masyn Winn,,Taylor Clarke,76,8,Flyout,81.0,41,274,72.8,86.7,.020,
9,,Lars Nootbaar,,Taylor Clarke,75,8,Lineout,94.2,20,309,,95.8,.310,0/30
10,,Bobby Witt Jr.,,Matt Svanson,74,8,Flyout,94.9,26,344,71.3,98.1,.240,0/30
11,,Jonathan India,,Matt Svanson,73,8,Groundout,60.1,-16,10,68.8,97.4,.060,
12,,Kyle Isbel,,John King,72,8,Sac Bunt,31.3,-18,9,13.1,83.3,.360,
13,,Nolan Gorman,,John Schreiber,69,7,Single,64.8,42,212,73.6,94.4,.400,
14,,Alec Burleson,,John Schreiber,68,7,Single,74.5,,40,65.6,93.8,.120,
15,,Nolan Arenado,,John Schreiber,67,7,Groundout,47.2,-50,3,67.9,83.0,.190,
16,,Iván Herrera,,John Schreiber,66,7,Pop Out,92.0,63,174,⚡80.4,93.2,.010,
17,,Nick Loftin,,John King,65,7,Flyout,91.4,39,326,67.4,84.9,.010,0/30
18,,Jac Caglianone,,John King,64,7,Groundout,65.3,10,101,⚡76.0,92.7,.190,
19,,Willson Contreras,,John Schreiber,62,6,Lineout,87.0,22,300,72.1,83.1,.330,0/30
20,,Brendan Donovan,,Angel Zerpa,61,6,Groundout,100.9,-17,6,66.0,97.6,.200,
21,,Masyn Winn,,Angel Zerpa,60,6,Double,104.8,9,174,⚡76.3,96.4,.730,
22,,Victor Scott II,,Angel Zerpa,58,6,Groundout,93.6,,53,64.9,97.7,.430,
23,,Vinnie Pasquantino,,Kyle Leahy,57,6,Groundout,72.9,-20,9,62.6,91.2,.040,
24,,Maikel Garcia,,Kyle Leahy,56,6,Single,106.6,-20,8,70.0,95.7,.180,
25,,Jonathan India,,Kyle Leahy,54,6,Single,86.2,12,181,⚡76.9,92.6,.670,
26,,Kyle Isbel,,Steven Matz,53,6,Single,104.3,-6,20,66.5,95.3,.360,
27,,Alec Burleson,,Steven Cruz,49,5,Flyout,94.6,31,332,72.4,93.5,.140,0/30
28,,Nolan Arenado,,Steven Cruz,48,5,Pop Out,85.2,63,165,72.8,96.0,.010,
29,,Jac Caglianone,,Steven Matz,47,5,Groundout,96.9,-24,8,⚡84.0,78.7,.090,
30,,Salvador Perez,,Steven Matz,46,5,Single,95.3,17,241,67.4,93.9,.560,
31,,Vinnie Pasquantino,,Steven Matz,45,5,Double,109.0,12,283,⚡75.1,93.4,.890,
32,,Maikel Garcia,,Steven Matz,44,5,Flyout,90.2,32,337,74.6,93.9,.030,1/30
